NU_NOTA_REDACAO,Q009
780,"Sim, um"
900,"Sim, três"
600,"Sim, três"
720,"Sim, dois"
120,"Sim, um"
920,"Sim, três"
560,"Sim, dois"
900,"Sim, dois"
700,"Sim, dois"
920,"Sim, dois"
940,"Sim, três"
520,Não
680,"Sim, dois"
720,"Sim, três"
740,"Sim, quatro ou mais"
560,"Sim, um"
660,"Sim, dois"
720,"Sim, três"
760,"Sim, três"
460,"Sim, quatro ou mais"
420,"Sim, dois"
840,"Sim, dois"
560,"Sim, dois"
600,"Sim, três"
620,"Sim, dois"
640,"Sim, dois"
640,"Sim, dois"
300,"Sim, dois"
600,"Sim, três"
500,"Sim, dois"
920,"Sim, dois"
760,"Sim, três"
680,"Sim, quatro ou mais"
560,"Sim, um"
600,"Sim, dois"
680,"Sim, três"
600,"Sim, três"
520,"Sim, quatro ou mais"
840,"Sim, três"
600,"Sim, dois"
620,"Sim, três"
460,"Sim, três"
540,"Sim, dois"
420,"Sim, dois"
600,"Sim, três"
780,"Sim, dois"
800,"Sim, três"
480,"Sim, dois"
320,"Sim, três"
820,"Sim, três"
460,"Sim, um"
280,"Sim, dois"
720,"Sim, três"
600,"Sim, um"
840,"Sim, dois"
840,"Sim, três"
480,"Sim, dois"
640,"Sim, quatro ou mais"
540,"Sim, três"
560,"Sim, dois"
860,"Sim, quatro ou mais"
620,"Sim, três"
780,"Sim, três"
880,"Sim, um"
540,"Sim, três"
580,"Sim, dois"
800,"Sim, três"
300,"Sim, dois"
700,"Sim, dois"
840,"Sim, um"
600,"Sim, quatro ou mais"
660,"Sim, três"
960,"Sim, três"
580,"Sim, quatro ou mais"
600,"Sim, dois"
700,"Sim, três"
560,"Sim, dois"
580,Não
300,"Sim, dois"
260,"Sim, três"
900,"Sim, dois"
840,"Sim, três"
500,"Sim, três"
840,"Sim, três"
600,"Sim, três"
640,"Sim, um"
660,"Sim, dois"
660,"Sim, três"
680,"Sim, dois"
600,"Sim, dois"
680,"Sim, dois"
440,"Sim, dois"
840,"Sim, três"
680,"Sim, três"
800,"Sim, dois"
820,"Sim, três"
620,"Sim, três"
520,"Sim, dois"
620,"Sim, três"
620,"Sim, quatro ou mais"
640,"Sim, dois"
560,"Sim, dois"
840,"Sim, três"
500,"Sim, dois"
640,"Sim, três"
480,"Sim, dois"
760,"Sim, três"
640,"Sim, quatro ou mais"
720,"Sim, quatro ou mais"
680,"Sim, três"
580,"Sim, três"
580,"Sim, dois"
800,"Sim, quatro ou mais"
280,"Sim, três"
440,"Sim, quatro ou mais"
360,"Sim, dois"
320,"Sim, dois"
820,"Sim, quatro ou mais"
440,"Sim, três"
720,"Sim, três"
560,"Sim, dois"
480,"Sim, um"
600,"Sim, três"
820,"Sim, três"
900,"Sim, dois"
680,"Sim, dois"
720,"Sim, quatro ou mais"
920,"Sim, três"
280,"Sim, dois"
580,"Sim, dois"
680,"Sim, um"
280,"Sim, três"
600,"Sim, três"
820,"Sim, três"
320,"Sim, dois"
620,"Sim, um"
620,"Sim, dois"
480,"Sim, três"
740,"Sim, dois"
620,"Sim, dois"
760,"Sim, dois"
560,"Sim, dois"
660,"Sim, três"
540,"Sim, dois"
880,"Sim, quatro ou mais"
540,"Sim, três"
500,"Sim, um"
760,"Sim, um"
740,"Sim, três"
800,"Sim, dois"
520,"Sim, dois"
800,"Sim, dois"
520,"Sim, três"
560,"Sim, dois"
880,"Sim, três"
880,"Sim, três"
620,"Sim, dois"
640,"Sim, três"
500,"Sim, quatro ou mais"
560,"Sim, quatro ou mais"
540,"Sim, dois"
340,"Sim, um"
740,"Sim, três"
580,"Sim, dois"
660,"Sim, dois"
840,"Sim, três"
840,"Sim, três"
320,"Sim, dois"
780,"Sim, dois"
600,"Sim, dois"
480,"Sim, dois"
760,"Sim, um"
400,"Sim, dois"
760,"Sim, três"
640,"Sim, quatro ou mais"
880,"Sim, dois"
940,"Sim, dois"
560,"Sim, três"
760,"Sim, três"
740,"Sim, um"
740,"Sim, três"
460,"Sim, dois"
680,"Sim, três"
560,"Sim, dois"
400,"Sim, dois"
540,"Sim, dois"
740,"Sim, dois"
640,"Sim, quatro ou mais"
620,"Sim, três"
620,"Sim, dois"
620,"Sim, dois"
800,"Sim, dois"
580,"Sim, dois"
620,"Sim, três"
460,"Sim, três"
840,"Sim, três"
740,"Sim, quatro ou mais"
740,"Sim, três"
600,"Sim, dois"
540,"Sim, três"
760,"Sim, dois"
540,"Sim, dois"
880,"Sim, três"
600,"Sim, quatro ou mais"
580,"Sim, um"
500,"Sim, dois"
560,"Sim, dois"
720,"Sim, dois"
560,"Sim, um"
460,"Sim, dois"
840,"Sim, dois"
540,"Sim, um"
600,"Sim, dois"
580,"Sim, um"
900,"Sim, dois"
460,"Sim, três"
760,"Sim, dois"
560,"Sim, três"
500,"Sim, dois"
580,"Sim, dois"
820,"Sim, dois"
620,"Sim, dois"
640,"Sim, três"
620,"Sim, três"
660,"Sim, dois"
640,"Sim, dois"
900,"Sim, um"
620,"Sim, três"
840,"Sim, três"
660,"Sim, um"
660,"Sim, três"
660,"Sim, um"
580,"Sim, dois"
580,"Sim, quatro ou mais"
640,"Sim, três"
720,"Sim, três"
440,"Sim, dois"
520,"Sim, dois"
740,"Sim, dois"
800,"Sim, três"
760,"Sim, três"
720,"Sim, três"
880,"Sim, dois"
500,"Sim, dois"
620,"Sim, três"
780,"Sim, três"
600,"Sim, quatro ou mais"
660,"Sim, três"
920,"Sim, três"
360,"Sim, quatro ou mais"
700,"Sim, dois"
520,"Sim, quatro ou mais"
660,"Sim, dois"
660,"Sim, três"
300,"Sim, três"
560,"Sim, três"
980,"Sim, dois"
500,"Sim, dois"
720,"Sim, dois"
900,"Sim, quatro ou mais"
520,"Sim, dois"
200,"Sim, três"
520,"Sim, três"
580,"Sim, três"
520,"Sim, dois"
400,"Sim, três"
880,"Sim, três"
740,"Sim, três"
680,"Sim, dois"
840,"Sim, três"
900,"Sim, três"
480,"Sim, dois"
800,"Sim, um"
880,"Sim, quatro ou mais"
560,"Sim, três"
480,"Sim, três"
520,"Sim, três"
580,"Sim, dois"
620,"Sim, dois"
700,"Sim, três"
420,"Sim, dois"
440,"Sim, quatro ou mais"
700,"Sim, dois"
660,"Sim, três"
500,"Sim, três"
580,"Sim, dois"
620,"Sim, três"
600,"Sim, um"
600,"Sim, dois"
220,"Sim, um"
800,"Sim, três"
320,"Sim, três"
480,"Sim, três"
720,"Sim, três"
460,"Sim, três"
640,"Sim, três"
540,"Sim, dois"
660,"Sim, quatro ou mais"
720,"Sim, três"
940,"Sim, dois"
800,"Sim, quatro ou mais"
600,"Sim, dois"
640,"Sim, dois"
700,"Sim, três"
560,"Sim, dois"
680,"Sim, quatro ou mais"
840,"Sim, três"
560,"Sim, dois"
460,"Sim, dois"
700,"Sim, dois"
660,"Sim, dois"
700,"Sim, um"
820,"Sim, três"
480,"Sim, dois"
880,"Sim, dois"
500,"Sim, três"
740,"Sim, três"
700,"Sim, três"
420,"Sim, dois"
720,"Sim, três"
820,"Sim, dois"
560,"Sim, dois"
520,"Sim, dois"
540,"Sim, dois"
520,"Sim, um"
480,"Sim, três"
480,"Sim, três"
560,"Sim, quatro ou mais"
640,"Sim, dois"
820,"Sim, três"
480,"Sim, dois"
760,"Sim, quatro ou mais"
500,"Sim, dois"
600,"Sim, três"
600,"Sim, dois"
540,"Sim, dois"
900,"Sim, quatro ou mais"
600,"Sim, dois"
700,"Sim, dois"
460,"Sim, dois"
900,"Sim, dois"
620,"Sim, três"
800,"Sim, um"
220,"Sim, três"
880,"Sim, quatro ou mais"
600,"Sim, dois"
480,"Sim, dois"
760,"Sim, dois"
560,"Sim, três"
520,"Sim, três"
560,"Sim, quatro ou mais"
640,"Sim, dois"
600,"Sim, dois"
420,"Sim, dois"
600,"Sim, um"
960,"Sim, dois"
960,"Sim, dois"
520,"Sim, três"
740,"Sim, dois"
620,"Sim, três"
780,"Sim, três"
780,"Sim, dois"
360,"Sim, três"
600,"Sim, dois"
420,"Sim, um"
500,"Sim, três"
840,"Sim, três"
680,"Sim, dois"
680,"Sim, três"
340,"Sim, três"
300,"Sim, três"
500,"Sim, três"
520,"Sim, um"
640,"Sim, três"
680,"Sim, um"
760,"Sim, três"
720,"Sim, dois"
460,"Sim, três"
600,"Sim, um"
880,"Sim, três"
360,"Sim, dois"
340,"Sim, três"
480,"Sim, um"
760,"Sim, três"
540,"Sim, dois"
580,"Sim, três"
340,"Sim, três"
540,"Sim, dois"
600,"Sim, quatro ou mais"
480,"Sim, dois"
340,"Sim, dois"
620,"Sim, três"
920,"Sim, três"
840,"Sim, dois"
880,"Sim, três"
520,"Sim, três"
400,"Sim, um"
880,"Sim, três"
680,"Sim, três"
580,"Sim, um"
760,"Sim, três"
820,"Sim, três"
920,"Sim, dois"
560,"Sim, dois"
560,"Sim, dois"
640,"Sim, dois"
680,"Sim, dois"
460,"Sim, dois"
320,"Sim, três"
920,"Sim, dois"
500,"Sim, dois"
720,"Sim, um"
640,"Sim, um"
880,"Sim, quatro ou mais"
560,"Sim, três"
580,"Sim, três"
840,"Sim, dois"
700,"Sim, três"
560,"Sim, dois"
680,"Sim, dois"
540,"Sim, dois"
400,"Sim, quatro ou mais"
720,"Sim, dois"
780,"Sim, dois"
540,"Sim, três"
600,"Sim, quatro ou mais"
680,"Sim, dois"
600,"Sim, dois"
700,"Sim, dois"
920,"Sim, três"
900,"Sim, três"
540,"Sim, três"
900,"Sim, quatro ou mais"
660,"Sim, dois"
660,"Sim, dois"
680,"Sim, um"
580,"Sim, dois"
720,"Sim, dois"
580,"Sim, dois"
520,"Sim, três"
600,"Sim, um"
720,"Sim, três"
700,"Sim, dois"
360,"Sim, três"
700,"Sim, três"
700,"Sim, dois"
640,"Sim, dois"
720,"Sim, três"
460,"Sim, dois"
720,"Sim, dois"
620,"Sim, três"
460,"Sim, dois"
660,"Sim, dois"
520,"Sim, três"
440,"Sim, um"
800,"Sim, três"
340,"Sim, dois"
680,"Sim, quatro ou mais"
940,"Sim, um"
540,"Sim, dois"
540,"Sim, dois"
640,"Sim, dois"
720,"Sim, quatro ou mais"
720,"Sim, um"
680,"Sim, dois"
660,"Sim, dois"
620,"Sim, um"
540,"Sim, dois"
560,"Sim, dois"
820,"Sim, quatro ou mais"
480,"Sim, dois"
680,"Sim, quatro ou mais"
560,"Sim, três"
820,"Sim, dois"
740,"Sim, dois"
580,"Sim, dois"
520,"Sim, dois"
540,"Sim, três"
660,"Sim, três"
580,"Sim, um"
680,"Sim, dois"
580,"Sim, quatro ou mais"
440,"Sim, dois"
480,"Sim, dois"
880,"Sim, dois"
520,"Sim, dois"
620,"Sim, quatro ou mais"
540,"Sim, três"
640,"Sim, três"
840,"Sim, dois"
920,"Sim, três"
700,"Sim, dois"
940,"Sim, três"
660,"Sim, três"
680,"Sim, dois"
540,"Sim, três"
440,"Sim, três"
500,"Sim, dois"
900,"Sim, dois"
640,"Sim, dois"
740,"Sim, três"
600,"Sim, quatro ou mais"
760,"Sim, três"
580,"Sim, três"
440,"Sim, um"
580,"Sim, dois"
580,"Sim, dois"
900,"Sim, quatro ou mais"
520,"Sim, dois"
680,"Sim, três"
480,"Sim, um"
720,"Sim, um"
700,"Sim, um"
580,"Sim, um"
820,"Sim, dois"
580,"Sim, dois"
540,"Sim, três"
760,"Sim, três"
840,"Sim, dois"
320,"Sim, quatro ou mais"
940,"Sim, três"
560,"Sim, dois"
480,"Sim, três"
620,"Sim, quatro ou mais"
960,"Sim, três"
540,"Sim, dois"
500,"Sim, três"
820,"Sim, três"
640,"Sim, quatro ou mais"
660,"Sim, três"
800,"Sim, três"
620,"Sim, um"
860,"Sim, quatro ou mais"
760,"Sim, um"
720,"Sim, três"
800,"Sim, dois"
660,"Sim, um"
780,"Sim, quatro ou mais"
580,"Sim, dois"
640,"Sim, três"
560,"Sim, três"
480,"Sim, três"
820,"Sim, três"
520,"Sim, três"
540,"Sim, três"
540,"Sim, dois"
600,"Sim, dois"
920,"Sim, dois"
480,"Sim, dois"
700,"Sim, três"
840,"Sim, três"
380,"Sim, dois"
520,"Sim, três"
600,"Sim, três"
540,"Sim, três"
840,"Sim, três"
720,"Sim, dois"
920,"Sim, três"
540,"Sim, dois"
800,"Sim, dois"
820,"Sim, três"
760,"Sim, três"
820,"Sim, um"
840,"Sim, três"
620,"Sim, dois"
660,"Sim, dois"
460,"Sim, três"
720,"Sim, quatro ou mais"
880,"Sim, dois"
920,"Sim, três"
540,"Sim, quatro ou mais"
720,"Sim, três"
520,"Sim, três"
520,"Sim, três"
640,"Sim, três"
760,"Sim, dois"
580,"Sim, dois"
800,"Sim, quatro ou mais"
460,"Sim, três"
700,"Sim, três"
660,"Sim, três"
580,"Sim, três"
500,"Sim, dois"
580,"Sim, três"
920,"Sim, quatro ou mais"
640,"Sim, dois"
540,"Sim, três"
640,"Sim, três"
820,"Sim, dois"
640,"Sim, três"
640,"Sim, dois"
840,"Sim, um"
920,"Sim, três"
660,"Sim, dois"
360,"Sim, dois"
760,"Sim, três"
960,"Sim, quatro ou mais"
740,"Sim, três"
620,Não
860,"Sim, quatro ou mais"
640,"Sim, dois"
960,"Sim, dois"
500,"Sim, um"
680,"Sim, três"
440,"Sim, dois"
580,"Sim, três"
500,"Sim, três"
580,"Sim, dois"
580,"Sim, três"
540,"Sim, três"
660,"Sim, dois"
780,"Sim, dois"
940,"Sim, três"
920,"Sim, um"
580,"Sim, dois"
580,"Sim, quatro ou mais"
540,"Sim, três"
800,"Sim, três"
600,"Sim, dois"
400,"Sim, dois"
720,"Sim, dois"
940,"Sim, três"
640,"Sim, dois"
520,"Sim, três"
700,"Sim, dois"
900,"Sim, três"
520,"Sim, dois"
720,"Sim, três"
620,"Sim, dois"
720,"Sim, três"
720,"Sim, dois"
760,"Sim, dois"
840,"Sim, dois"
580,"Sim, dois"
780,"Sim, dois"
940,"Sim, dois"
620,"Sim, um"
560,"Sim, dois"
580,"Sim, três"
560,"Sim, um"
920,"Sim, quatro ou mais"
800,"Sim, dois"
760,"Sim, três"
560,"Sim, dois"
640,"Sim, quatro ou mais"
400,"Sim, dois"
480,"Sim, três"
740,"Sim, três"
840,"Sim, quatro ou mais"
660,"Sim, dois"
620,"Sim, três"
500,"Sim, dois"
580,"Sim, um"
700,"Sim, dois"
540,"Sim, três"
660,"Sim, dois"
840,"Sim, três"
320,"Sim, dois"
900,"Sim, quatro ou mais"
340,"Sim, dois"
680,"Sim, três"
600,"Sim, três"
480,"Sim, três"
620,"Sim, dois"
540,"Sim, três"
940,"Sim, três"
600,"Sim, dois"
340,"Sim, três"
640,"Sim, dois"
900,"Sim, dois"
740,"Sim, três"
580,"Sim, três"
600,"Sim, dois"
860,"Sim, três"
820,"Sim, dois"
360,"Sim, dois"
700,"Sim, dois"
880,"Sim, dois"
580,"Sim, três"
460,"Sim, dois"
760,"Sim, três"
840,"Sim, quatro ou mais"
600,"Sim, três"
940,"Sim, três"
800,"Sim, dois"
600,"Sim, três"
840,"Sim, dois"
540,"Sim, um"
880,"Sim, três"
700,"Sim, três"
820,"Sim, três"
740,"Sim, um"
500,"Sim, três"
700,"Sim, três"
540,"Sim, dois"
820,"Sim, dois"
960,"Sim, dois"
760,"Sim, três"
580,"Sim, dois"
760,"Sim, dois"
680,"Sim, quatro ou mais"
920,"Sim, dois"
320,"Sim, dois"
640,"Sim, três"
920,"Sim, três"
700,"Sim, dois"
940,"Sim, três"
700,"Sim, três"
320,"Sim, dois"
720,"Sim, dois"
720,"Sim, dois"
520,"Sim, dois"
300,"Sim, dois"
900,"Sim, dois"
800,"Sim, dois"
760,"Sim, dois"
480,"Sim, três"
780,"Sim, dois"
560,"Sim, três"
240,"Sim, três"
740,"Sim, três"
580,"Sim, dois"
660,"Sim, quatro ou mais"
800,"Sim, dois"
660,"Sim, dois"
660,"Sim, dois"
860,"Sim, dois"
640,"Sim, dois"
760,"Sim, quatro ou mais"
520,"Sim, quatro ou mais"
660,"Sim, dois"
800,"Sim, quatro ou mais"
640,"Sim, quatro ou mais"
600,"Sim, dois"
640,"Sim, dois"
440,"Sim, três"
600,"Sim, dois"
540,"Sim, dois"
620,"Sim, três"
800,"Sim, três"
420,"Sim, um"
660,"Sim, três"
600,"Sim, dois"
580,"Sim, quatro ou mais"
500,"Sim, dois"
900,"Sim, dois"
680,"Sim, dois"
940,"Sim, três"
620,"Sim, quatro ou mais"
900,"Sim, quatro ou mais"
760,"Sim, um"
840,"Sim, três"
580,"Sim, quatro ou mais"
600,"Sim, dois"
820,"Sim, três"
780,"Sim, dois"
800,"Sim, três"
540,"Sim, três"
700,"Sim, quatro ou mais"
760,"Sim, dois"
460,"Sim, dois"
620,"Sim, quatro ou mais"
700,"Sim, quatro ou mais"
400,"Sim, três"
620,"Sim, três"
660,"Sim, dois"
760,"Sim, dois"
320,"Sim, dois"
380,"Sim, quatro ou mais"
920,"Sim, três"
580,"Sim, um"
720,"Sim, dois"
620,"Sim, três"
700,"Sim, três"
520,"Sim, três"
680,"Sim, dois"
640,"Sim, dois"
480,"Sim, um"
600,"Sim, três"
540,"Sim, um"
640,"Sim, dois"
640,"Sim, dois"
920,"Sim, três"
480,"Sim, três"
680,"Sim, dois"
280,"Sim, dois"
720,"Sim, quatro ou mais"
760,"Sim, três"
480,"Sim, dois"
800,"Sim, dois"
940,"Sim, quatro ou mais"
500,"Sim, dois"
580,"Sim, quatro ou mais"
600,"Sim, dois"
880,"Sim, dois"
760,"Sim, um"
480,"Sim, dois"
740,"Sim, dois"
840,"Sim, dois"
380,"Sim, três"
240,"Sim, um"
740,"Sim, dois"
480,"Sim, dois"
480,"Sim, três"
540,"Sim, dois"
540,"Sim, três"
600,"Sim, um"
920,"Sim, dois"
980,"Sim, dois"
800,"Sim, dois"
920,"Sim, três"
760,"Sim, três"
880,"Sim, três"
720,"Sim, dois"
320,"Sim, dois"
960,"Sim, três"
580,"Sim, dois"
880,"Sim, três"
640,"Sim, quatro ou mais"
560,"Sim, dois"
680,"Sim, dois"
600,"Sim, dois"
520,"Sim, um"
640,"Sim, dois"
780,"Sim, três"
500,"Sim, um"
600,"Sim, quatro ou mais"
700,"Sim, três"
580,"Sim, quatro ou mais"
380,"Sim, dois"
480,"Sim, três"
880,"Sim, três"
620,"Sim, três"
480,"Sim, dois"
820,"Sim, dois"
680,"Sim, três"
540,Não
300,"Sim, três"
680,"Sim, três"
760,"Sim, dois"
800,"Sim, dois"
560,"Sim, um"
740,"Sim, dois"
880,"Sim, três"
640,"Sim, dois"
580,"Sim, três"
620,"Sim, dois"
720,"Sim, dois"
400,"Sim, um"
540,"Sim, quatro ou mais"
600,"Sim, dois"
760,"Sim, quatro ou mais"
880,"Sim, quatro ou mais"
660,"Sim, quatro ou mais"
420,"Sim, dois"
540,"Sim, dois"
720,"Sim, três"
640,"Sim, três"
560,"Sim, três"
620,"Sim, três"
800,"Sim, dois"
540,"Sim, um"
620,"Sim, três"
700,"Sim, dois"
720,"Sim, dois"
320,"Sim, dois"
380,"Sim, três"
540,"Sim, três"
600,"Sim, dois"
960,"Sim, três"
420,"Sim, três"
540,"Sim, dois"
740,"Sim, quatro ou mais"
800,"Sim, quatro ou mais"
580,"Sim, três"
720,"Sim, dois"
720,"Sim, quatro ou mais"
840,"Sim, três"
700,"Sim, dois"
880,"Sim, dois"
720,"Sim, quatro ou mais"
720,"Sim, dois"
680,"Sim, um"
740,"Sim, dois"
520,"Sim, dois"
460,"Sim, três"
720,"Sim, três"
660,"Sim, dois"
520,"Sim, dois"
480,"Sim, dois"
580,"Sim, dois"
980,"Sim, quatro ou mais"
940,"Sim, quatro ou mais"
660,"Sim, dois"
580,"Sim, três"
540,"Sim, dois"
600,"Sim, três"
920,"Sim, dois"
320,"Sim, quatro ou mais"
620,"Sim, dois"
480,"Sim, um"
680,"Sim, três"
400,"Sim, dois"
760,"Sim, três"
780,"Sim, quatro ou mais"
620,"Sim, dois"
840,"Sim, três"
660,"Sim, três"
460,"Sim, três"
680,"Sim, dois"
500,"Sim, quatro ou mais"
720,"Sim, três"
500,"Sim, dois"
520,"Sim, dois"
520,"Sim, dois"
540,"Sim, um"
580,"Sim, dois"
580,"Sim, dois"
560,"Sim, três"
800,"Sim, três"
900,"Sim, um"
720,"Sim, três"
620,"Sim, três"
800,"Sim, quatro ou mais"
500,"Sim, quatro ou mais"
340,"Sim, quatro ou mais"
960,"Sim, dois"
540,"Sim, dois"
720,"Sim, dois"
440,"Sim, dois"
900,"Sim, três"
600,"Sim, um"
820,"Sim, três"
500,"Sim, dois"
840,"Sim, dois"
820,"Sim, dois"
340,"Sim, quatro ou mais"
580,"Sim, três"
860,"Sim, quatro ou mais"
800,"Sim, três"
640,"Sim, dois"
560,"Sim, dois"
900,"Sim, um"
700,"Sim, um"
760,"Sim, três"
560,"Sim, um"
420,"Sim, dois"
600,"Sim, três"
500,"Sim, um"
760,"Sim, três"
660,"Sim, três"
320,"Sim, dois"
620,"Sim, dois"
640,"Sim, três"
320,"Sim, dois"
640,"Sim, dois"
680,"Sim, três"
540,"Sim, dois"
760,"Sim, quatro ou mais"
360,"Sim, dois"
540,"Sim, dois"
540,"Sim, dois"
840,"Sim, dois"
540,"Sim, um"
540,"Sim, três"
540,"Sim, três"
220,"Sim, dois"
640,"Sim, dois"
500,"Sim, três"
800,"Sim, um"
560,"Sim, três"
560,"Sim, dois"
740,"Sim, três"
320,"Sim, dois"
340,"Sim, dois"
600,"Sim, três"
540,"Sim, quatro ou mais"
700,"Sim, quatro ou mais"
680,"Sim, dois"
660,"Sim, dois"
740,"Sim, dois"
620,"Sim, três"
780,"Sim, três"
800,"Sim, três"
580,"Sim, dois"
800,"Sim, dois"
680,"Sim, três"
660,"Sim, dois"
920,"Sim, três"
540,"Sim, um"
560,"Sim, três"
460,"Sim, dois"
940,"Sim, três"
560,"Sim, um"
740,"Sim, dois"
660,"Sim, dois"
640,"Sim, dois"
700,"Sim, dois"
840,"Sim, dois"
580,"Sim, dois"
