NU_NOTA_REDACAO,Q006
580,"De R$ 5.988,01 até R$ 6.986,00"
900,"De R$ 11.976,01 até R$ 14.970,00"
520,"De R$ 3.992,01 até R$ 4.990,00"
680,"De R$ 9.980,01 até R$ 11.976,00"
480,"De R$ 998,01 até R$ 1.497,00"
720,"De R$ 1.996,01 até R$ 2.495,00"
700,"De R$ 3.992,01 até R$ 4.990,00"
580,"De R$ 1.497,01 até R$ 1.996,00"
820,"De R$ 6.986,01 até R$ 7.984,00"
580,"De R$ 5.988,01 até R$ 6.986,00"
540,"De R$ 1.996,01 até R$ 2.495,00"
760,"De R$ 4.990,01 até R$ 5.988,00"
840,"De R$ 4.990,01 até R$ 5.988,00"
320,"De R$ 4.990,01 até R$ 5.988,00"
940,"De R$ 2.994,01 até R$ 3.992,00"
560,"De R$ 2.994,01 até R$ 3.992,00"
480,"De R$ 3.992,01 até R$ 4.990,00"
620,"De R$ 9.980,01 até R$ 11.976,00"
960,"De R$ 3.992,01 até R$ 4.990,00"
540,"De R$ 1.996,01 até R$ 2.495,00"
500,"De R$ 1.497,01 até R$ 1.996,00"
820,"De R$ 1.497,01 até R$ 1.996,00"
640,"De R$ 4.990,01 até R$ 5.988,00"
660,"De R$ 2.994,01 até R$ 3.992,00"
800,"De R$ 9.980,01 até R$ 11.976,00"
620,"Mais de R$ 19.960,00"
860,"De R$ 6.986,01 até R$ 7.984,00"
760,Nenhuma renda.
720,"De R$ 6.986,01 até R$ 7.984,00"
800,"De R$ 6.986,01 até R$ 7.984,00"
660,"De R$ 4.990,01 até R$ 5.988,00"
780,"De R$ 14.970,01 até R$ 19.960,00"
580,"De R$ 1.996,01 até R$ 2.495,00"
640,"De R$ 998,01 até R$ 1.497,00"
560,"De R$ 2.994,01 até R$ 3.992,00"
480,Nenhuma renda.
820,"De R$ 5.988,01 até R$ 6.986,00"
520,"De R$ 1.497,01 até R$ 1.996,00"
540,"De R$ 6.986,01 até R$ 7.984,00"
540,"De R$ 998,01 até R$ 1.497,00"
600,"De R$ 998,01 até R$ 1.497,00"
920,"Mais de R$ 19.960,00"
480,"Até R$ 998,00"
700,"De R$ 3.992,01 até R$ 4.990,00"
840,"De R$ 6.986,01 até R$ 7.984,00"
380,"Até R$ 998,00"
520,"De R$ 1.996,01 até R$ 2.495,00"
600,"De R$ 6.986,01 até R$ 7.984,00"
540,"Mais de R$ 19.960,00"
840,"De R$ 998,01 até R$ 1.497,00"
720,"De R$ 998,01 até R$ 1.497,00"
920,"De R$ 4.990,01 até R$ 5.988,00"
540,"De R$ 998,01 até R$ 1.497,00"
800,"Mais de R$ 19.960,00"
820,"De R$ 998,01 até R$ 1.497,00"
760,"De R$ 2.994,01 até R$ 3.992,00"
820,"De R$ 998,01 até R$ 1.497,00"
840,"De R$ 6.986,01 até R$ 7.984,00"
620,"De R$ 5.988,01 até R$ 6.986,00"
660,"Até R$ 998,00"
460,"De R$ 998,01 até R$ 1.497,00"
720,"De R$ 1.497,01 até R$ 1.996,00"
880,"De R$ 998,01 até R$ 1.497,00"
920,"De R$ 5.988,01 até R$ 6.986,00"
540,"De R$ 2.495,01 até R$ 2.994,00"
720,"Mais de R$ 19.960,00"
520,"De R$ 998,01 até R$ 1.497,00"
520,"De R$ 1.996,01 até R$ 2.495,00"
640,"De R$ 8.982,01 até R$ 9.980,00"
760,"De R$ 9.980,01 até R$ 11.976,00"
580,"De R$ 998,01 até R$ 1.497,00"
800,"De R$ 6.986,01 até R$ 7.984,00"
460,"De R$ 998,01 até R$ 1.497,00"
700,"De R$ 6.986,01 até R$ 7.984,00"
660,"De R$ 998,01 até R$ 1.497,00"
580,"De R$ 1.497,01 até R$ 1.996,00"
500,"Até R$ 998,00"
580,"De R$ 998,01 até R$ 1.497,00"
920,"De R$ 998,01 até R$ 1.497,00"
640,"Até R$ 998,00"
540,"De R$ 4.990,01 até R$ 5.988,00"
640,"De R$ 998,01 até R$ 1.497,00"
820,"De R$ 1.996,01 até R$ 2.495,00"
640,"De R$ 11.976,01 até R$ 14.970,00"
640,"De R$ 998,01 até R$ 1.497,00"
840,"Mais de R$ 19.960,00"
920,"De R$ 3.992,01 até R$ 4.990,00"
660,"Até R$ 998,00"
360,"Até R$ 998,00"
760,"De R$ 998,01 até R$ 1.497,00"
960,"Mais de R$ 19.960,00"
740,"De R$ 9.980,01 até R$ 11.976,00"
620,"Até R$ 998,00"
860,"De R$ 998,01 até R$ 1.497,00"
640,"De R$ 4.990,01 até R$ 5.988,00"
960,"De R$ 8.982,01 até R$ 9.980,00"
500,"De R$ 998,01 até R$ 1.497,00"
680,"De R$ 5.988,01 até R$ 6.986,00"
440,"De R$ 1.497,01 até R$ 1.996,00"
580,"De R$ 1.996,01 até R$ 2.495,00"
500,"De R$ 1.996,01 até R$ 2.495,00"
580,"De R$ 998,01 até R$ 1.497,00"
580,"De R$ 1.996,01 até R$ 2.495,00"
540,"De R$ 6.986,01 até R$ 7.984,00"
660,"De R$ 9.980,01 até R$ 11.976,00"
780,"De R$ 2.495,01 até R$ 2.994,00"
940,"De R$ 3.992,01 até R$ 4.990,00"
920,"De R$ 4.990,01 até R$ 5.988,00"
580,"De R$ 7.984,01 até R$ 8.982,00"
580,"De R$ 2.495,01 até R$ 2.994,00"
540,"Mais de R$ 19.960,00"
800,"De R$ 1.497,01 até R$ 1.996,00"
600,"De R$ 7.984,01 até R$ 8.982,00"
400,"Até R$ 998,00"
720,"De R$ 998,01 até R$ 1.497,00"
940,"De R$ 9.980,01 até R$ 11.976,00"
640,"De R$ 1.996,01 até R$ 2.495,00"
520,"De R$ 1.996,01 até R$ 2.495,00"
700,"De R$ 998,01 até R$ 1.497,00"
900,"De R$ 4.990,01 até R$ 5.988,00"
520,"Até R$ 998,00"
720,"De R$ 11.976,01 até R$ 14.970,00"
620,"Até R$ 998,00"
720,"De R$ 9.980,01 até R$ 11.976,00"
720,"De R$ 1.497,01 até R$ 1.996,00"
760,"De R$ 1.996,01 até R$ 2.495,00"
840,"De R$ 998,01 até R$ 1.497,00"
580,"De R$ 998,01 até R$ 1.497,00"
780,"De R$ 14.970,01 até R$ 19.960,00"
940,"De R$ 4.990,01 até R$ 5.988,00"
620,"De R$ 5.988,01 até R$ 6.986,00"
560,"De R$ 2.994,01 até R$ 3.992,00"
580,"De R$ 998,01 até R$ 1.497,00"
560,"Até R$ 998,00"
920,"De R$ 5.988,01 até R$ 6.986,00"
800,"De R$ 1.996,01 até R$ 2.495,00"
760,"De R$ 7.984,01 até R$ 8.982,00"
560,"Até R$ 998,00"
640,"De R$ 1.497,01 até R$ 1.996,00"
400,"Até R$ 998,00"
480,"De R$ 1.996,01 até R$ 2.495,00"
740,"De R$ 1.996,01 até R$ 2.495,00"
840,"De R$ 5.988,01 até R$ 6.986,00"
660,"Até R$ 998,00"
620,"De R$ 14.970,01 até R$ 19.960,00"
500,"Até R$ 998,00"
580,"De R$ 998,01 até R$ 1.497,00"
700,"De R$ 1.996,01 até R$ 2.495,00"
540,"De R$ 3.992,01 até R$ 4.990,00"
660,"De R$ 1.497,01 até R$ 1.996,00"
840,"De R$ 9.980,01 até R$ 11.976,00"
320,"De R$ 1.996,01 até R$ 2.495,00"
900,"Mais de R$ 19.960,00"
340,Nenhuma renda.
680,"De R$ 2.994,01 até R$ 3.992,00"
600,"De R$ 998,01 até R$ 1.497,00"
480,"De R$ 998,01 até R$ 1.497,00"
620,"Até R$ 998,00"
540,"Até R$ 998,00"
940,"De R$ 1.996,01 até R$ 2.495,00"
600,"Até R$ 998,00"
340,"Mais de R$ 19.960,00"
640,"De R$ 998,01 até R$ 1.497,00"
900,Nenhuma renda.
740,"De R$ 998,01 até R$ 1.497,00"
580,"De R$ 2.495,01 até R$ 2.994,00"
600,"De R$ 9.980,01 até R$ 11.976,00"
860,"Mais de R$ 19.960,00"
820,"Até R$ 998,00"
360,"De R$ 998,01 até R$ 1.497,00"
700,"De R$ 998,01 até R$ 1.497,00"
880,"De R$ 5.988,01 até R$ 6.986,00"
580,"De R$ 4.990,01 até R$ 5.988,00"
460,"De R$ 998,01 até R$ 1.497,00"
760,"De R$ 2.994,01 até R$ 3.992,00"
840,"De R$ 9.980,01 até R$ 11.976,00"
600,"De R$ 998,01 até R$ 1.497,00"
940,"De R$ 7.984,01 até R$ 8.982,00"
800,"De R$ 5.988,01 até R$ 6.986,00"
600,"De R$ 8.982,01 até R$ 9.980,00"
840,"De R$ 9.980,01 até R$ 11.976,00"
540,"De R$ 1.497,01 até R$ 1.996,00"
880,"De R$ 2.495,01 até R$ 2.994,00"
700,"De R$ 9.980,01 até R$ 11.976,00"
820,"De R$ 5.988,01 até R$ 6.986,00"
740,"De R$ 998,01 até R$ 1.497,00"
500,"De R$ 998,01 até R$ 1.497,00"
700,"De R$ 3.992,01 até R$ 4.990,00"
540,"De R$ 1.497,01 até R$ 1.996,00"
820,"Até R$ 998,00"
960,"De R$ 4.990,01 até R$ 5.988,00"
760,"De R$ 2.495,01 até R$ 2.994,00"
580,"De R$ 1.497,01 até R$ 1.996,00"
760,"De R$ 1.996,01 até R$ 2.495,00"
680,"De R$ 998,01 até R$ 1.497,00"
920,"De R$ 14.970,01 até R$ 19.960,00"
320,"De R$ 998,01 até R$ 1.497,00"
640,"De R$ 998,01 até R$ 1.497,00"
920,"De R$ 3.992,01 até R$ 4.990,00"
700,"De R$ 998,01 até R$ 1.497,00"
940,"De R$ 2.994,01 até R$ 3.992,00"
700,"De R$ 998,01 até R$ 1.497,00"
320,"De R$ 2.994,01 até R$ 3.992,00"
720,"De R$ 8.982,01 até R$ 9.980,00"
720,"De R$ 2.994,01 até R$ 3.992,00"
520,"De R$ 998,01 até R$ 1.497,00"
300,"De R$ 3.992,01 até R$ 4.990,00"
900,"De R$ 5.988,01 até R$ 6.986,00"
800,"De R$ 2.994,01 até R$ 3.992,00"
760,"De R$ 1.996,01 até R$ 2.495,00"
480,"Até R$ 998,00"
780,"De R$ 1.996,01 até R$ 2.495,00"
560,"Mais de R$ 19.960,00"
240,"De R$ 1.996,01 até R$ 2.495,00"
740,"De R$ 1.996,01 até R$ 2.495,00"
580,"De R$ 998,01 até R$ 1.497,00"
660,"De R$ 6.986,01 até R$ 7.984,00"
800,"De R$ 8.982,01 até R$ 9.980,00"
660,"De R$ 1.996,01 até R$ 2.495,00"
660,"De R$ 998,01 até R$ 1.497,00"
860,"De R$ 2.495,01 até R$ 2.994,00"
640,"De R$ 1.497,01 até R$ 1.996,00"
760,"De R$ 14.970,01 até R$ 19.960,00"
520,"De R$ 998,01 até R$ 1.497,00"
660,"Até R$ 998,00"
800,"De R$ 14.970,01 até R$ 19.960,00"
640,"Até R$ 998,00"
600,"De R$ 6.986,01 até R$ 7.984,00"
640,"De R$ 1.497,01 até R$ 1.996,00"
440,"De R$ 998,01 até R$ 1.497,00"
600,"De R$ 6.986,01 até R$ 7.984,00"
540,"De R$ 1.497,01 até R$ 1.996,00"
620,"De R$ 3.992,01 até R$ 4.990,00"
800,"De R$ 4.990,01 até R$ 5.988,00"
420,"Até R$ 998,00"
660,"Mais de R$ 19.960,00"
600,"De R$ 1.497,01 até R$ 1.996,00"
580,"De R$ 4.990,01 até R$ 5.988,00"
500,"De R$ 998,01 até R$ 1.497,00"
900,"De R$ 6.986,01 até R$ 7.984,00"
680,"De R$ 4.990,01 até R$ 5.988,00"
940,"De R$ 1.996,01 até R$ 2.495,00"
620,"De R$ 7.984,01 até R$ 8.982,00"
900,"De R$ 5.988,01 até R$ 6.986,00"
760,"Até R$ 998,00"
840,"De R$ 7.984,01 até R$ 8.982,00"
580,"De R$ 4.990,01 até R$ 5.988,00"
600,"De R$ 3.992,01 até R$ 4.990,00"
820,"De R$ 3.992,01 até R$ 4.990,00"
780,"De R$ 1.996,01 até R$ 2.495,00"
800,"De R$ 1.996,01 até R$ 2.495,00"
540,"De R$ 5.988,01 até R$ 6.986,00"
700,"De R$ 8.982,01 até R$ 9.980,00"
760,"De R$ 7.984,01 até R$ 8.982,00"
460,"De R$ 998,01 até R$ 1.497,00"
620,"Mais de R$ 19.960,00"
700,"De R$ 2.495,01 até R$ 2.994,00"
400,"De R$ 2.994,01 até R$ 3.992,00"
620,"De R$ 5.988,01 até R$ 6.986,00"
660,"Mais de R$ 19.960,00"
760,"De R$ 1.996,01 até R$ 2.495,00"
320,"De R$ 1.996,01 até R$ 2.495,00"
380,"Até R$ 998,00"
920,"De R$ 8.982,01 até R$ 9.980,00"
580,"De R$ 998,01 até R$ 1.497,00"
720,"De R$ 1.996,01 até R$ 2.495,00"
620,"De R$ 8.982,01 até R$ 9.980,00"
700,"De R$ 14.970,01 até R$ 19.960,00"
520,"De R$ 14.970,01 até R$ 19.960,00"
680,"De R$ 9.980,01 até R$ 11.976,00"
640,"Até R$ 998,00"
480,"De R$ 1.497,01 até R$ 1.996,00"
600,"De R$ 2.994,01 até R$ 3.992,00"
540,"De R$ 2.495,01 até R$ 2.994,00"
640,"De R$ 998,01 até R$ 1.497,00"
640,"De R$ 1.497,01 até R$ 1.996,00"
920,"De R$ 2.994,01 até R$ 3.992,00"
480,"Até R$ 998,00"
680,"De R$ 998,01 até R$ 1.497,00"
280,"De R$ 998,01 até R$ 1.497,00"
720,"De R$ 14.970,01 até R$ 19.960,00"
760,"De R$ 1.996,01 até R$ 2.495,00"
480,"De R$ 998,01 até R$ 1.497,00"
800,"De R$ 1.996,01 até R$ 2.495,00"
940,"De R$ 3.992,01 até R$ 4.990,00"
500,"De R$ 998,01 até R$ 1.497,00"
580,"De R$ 1.497,01 até R$ 1.996,00"
600,"Até R$ 998,00"
880,Nenhuma renda.
760,"De R$ 1.996,01 até R$ 2.495,00"
480,"De R$ 2.994,01 até R$ 3.992,00"
740,"De R$ 1.497,01 até R$ 1.996,00"
840,"Mais de R$ 19.960,00"
380,"De R$ 6.986,01 até R$ 7.984,00"
240,"Até R$ 998,00"
740,"De R$ 998,01 até R$ 1.497,00"
480,"De R$ 2.495,01 até R$ 2.994,00"
480,"De R$ 998,01 até R$ 1.497,00"
540,"Até R$ 998,00"
540,"De R$ 2.495,01 até R$ 2.994,00"
600,"De R$ 1.996,01 até R$ 2.495,00"
920,"De R$ 7.984,01 até R$ 8.982,00"
980,"De R$ 998,01 até R$ 1.497,00"
800,"De R$ 1.996,01 até R$ 2.495,00"
920,"De R$ 2.994,01 até R$ 3.992,00"
760,"De R$ 14.970,01 até R$ 19.960,00"
880,"De R$ 6.986,01 até R$ 7.984,00"
720,"Até R$ 998,00"
320,"De R$ 2.495,01 até R$ 2.994,00"
960,"De R$ 14.970,01 até R$ 19.960,00"
580,"De R$ 7.984,01 até R$ 8.982,00"
880,"De R$ 2.495,01 até R$ 2.994,00"
640,"De R$ 2.495,01 até R$ 2.994,00"
560,"De R$ 998,01 até R$ 1.497,00"
680,"Até R$ 998,00"
600,"De R$ 998,01 até R$ 1.497,00"
520,Nenhuma renda.
640,"De R$ 4.990,01 até R$ 5.988,00"
780,"De R$ 11.976,01 até R$ 14.970,00"
500,"De R$ 998,01 até R$ 1.497,00"
600,"De R$ 5.988,01 até R$ 6.986,00"
700,"De R$ 11.976,01 até R$ 14.970,00"
580,"De R$ 8.982,01 até R$ 9.980,00"
380,"Até R$ 998,00"
480,"De R$ 2.994,01 até R$ 3.992,00"
880,"De R$ 4.990,01 até R$ 5.988,00"
620,"De R$ 1.497,01 até R$ 1.996,00"
480,"De R$ 998,01 até R$ 1.497,00"
820,"De R$ 1.996,01 até R$ 2.495,00"
680,"De R$ 3.992,01 até R$ 4.990,00"
540,Nenhuma renda.
300,"De R$ 1.996,01 até R$ 2.495,00"
680,"De R$ 1.497,01 até R$ 1.996,00"
760,"De R$ 2.495,01 até R$ 2.994,00"
800,"De R$ 4.990,01 até R$ 5.988,00"
560,"De R$ 998,01 até R$ 1.497,00"
740,"De R$ 11.976,01 até R$ 14.970,00"
880,"De R$ 3.992,01 até R$ 4.990,00"
640,"Até R$ 998,00"
580,"De R$ 2.994,01 até R$ 3.992,00"
620,"Até R$ 998,00"
720,"De R$ 14.970,01 até R$ 19.960,00"
400,"Até R$ 998,00"
540,"De R$ 1.996,01 até R$ 2.495,00"
600,"Até R$ 998,00"
760,"De R$ 4.990,01 até R$ 5.988,00"
880,"De R$ 8.982,01 até R$ 9.980,00"
660,"De R$ 5.988,01 até R$ 6.986,00"
420,"De R$ 998,01 até R$ 1.497,00"
540,"De R$ 998,01 até R$ 1.497,00"
720,"De R$ 11.976,01 até R$ 14.970,00"
640,"De R$ 2.495,01 até R$ 2.994,00"
560,"De R$ 998,01 até R$ 1.497,00"
620,"Mais de R$ 19.960,00"
800,"De R$ 7.984,01 até R$ 8.982,00"
540,"De R$ 998,01 até R$ 1.497,00"
620,"De R$ 3.992,01 até R$ 4.990,00"
700,"De R$ 6.986,01 até R$ 7.984,00"
720,"De R$ 3.992,01 até R$ 4.990,00"
320,"Até R$ 998,00"
380,"De R$ 9.980,01 até R$ 11.976,00"
540,"De R$ 1.996,01 até R$ 2.495,00"
600,"Até R$ 998,00"
960,"De R$ 3.992,01 até R$ 4.990,00"
420,"Até R$ 998,00"
540,"Até R$ 998,00"
740,"De R$ 2.994,01 até R$ 3.992,00"
800,"De R$ 2.495,01 até R$ 2.994,00"
580,"Mais de R$ 19.960,00"
720,"Até R$ 998,00"
720,"De R$ 11.976,01 até R$ 14.970,00"
840,"De R$ 3.992,01 até R$ 4.990,00"
700,"De R$ 7.984,01 até R$ 8.982,00"
880,"De R$ 2.495,01 até R$ 2.994,00"
720,"De R$ 9.980,01 até R$ 11.976,00"
720,"De R$ 2.994,01 até R$ 3.992,00"
680,"De R$ 998,01 até R$ 1.497,00"
740,"De R$ 998,01 até R$ 1.497,00"
520,"De R$ 998,01 até R$ 1.497,00"
460,"De R$ 1.497,01 até R$ 1.996,00"
720,"De R$ 998,01 até R$ 1.497,00"
660,"De R$ 998,01 até R$ 1.497,00"
520,"Até R$ 998,00"
480,"De R$ 998,01 até R$ 1.497,00"
580,"Até R$ 998,00"
980,"De R$ 6.986,01 até R$ 7.984,00"
940,"De R$ 2.994,01 até R$ 3.992,00"
660,"De R$ 3.992,01 até R$ 4.990,00"
580,"De R$ 2.495,01 até R$ 2.994,00"
540,"De R$ 1.497,01 até R$ 1.996,00"
600,"Até R$ 998,00"
920,"De R$ 6.986,01 até R$ 7.984,00"
320,"De R$ 5.988,01 até R$ 6.986,00"
620,"De R$ 2.994,01 até R$ 3.992,00"
480,"Até R$ 998,00"
680,"De R$ 1.497,01 até R$ 1.996,00"
400,"De R$ 3.992,01 até R$ 4.990,00"
760,"De R$ 11.976,01 até R$ 14.970,00"
780,"De R$ 14.970,01 até R$ 19.960,00"
620,"De R$ 1.497,01 até R$ 1.996,00"
840,"De R$ 14.970,01 até R$ 19.960,00"
660,"De R$ 998,01 até R$ 1.497,00"
460,"De R$ 1.497,01 até R$ 1.996,00"
680,"De R$ 1.996,01 até R$ 2.495,00"
500,"De R$ 1.996,01 até R$ 2.495,00"
720,"De R$ 4.990,01 até R$ 5.988,00"
500,"Até R$ 998,00"
520,"De R$ 998,01 até R$ 1.497,00"
520,"De R$ 998,01 até R$ 1.497,00"
540,"De R$ 998,01 até R$ 1.497,00"
580,"De R$ 4.990,01 até R$ 5.988,00"
580,"De R$ 2.994,01 até R$ 3.992,00"
560,"De R$ 1.996,01 até R$ 2.495,00"
800,"De R$ 1.996,01 até R$ 2.495,00"
900,"De R$ 2.495,01 até R$ 2.994,00"
720,"De R$ 2.994,01 até R$ 3.992,00"
620,"De R$ 998,01 até R$ 1.497,00"
800,"De R$ 9.980,01 até R$ 11.976,00"
500,"De R$ 1.996,01 até R$ 2.495,00"
340,"De R$ 2.495,01 até R$ 2.994,00"
960,"De R$ 7.984,01 até R$ 8.982,00"
540,Nenhuma renda.
720,"De R$ 6.986,01 até R$ 7.984,00"
440,"Até R$ 998,00"
900,"De R$ 2.495,01 até R$ 2.994,00"
600,"Até R$ 998,00"
820,"De R$ 1.996,01 até R$ 2.495,00"
500,"De R$ 998,01 até R$ 1.497,00"
840,"De R$ 4.990,01 até R$ 5.988,00"
820,"De R$ 5.988,01 até R$ 6.986,00"
340,"Mais de R$ 19.960,00"
580,"De R$ 3.992,01 até R$ 4.990,00"
860,"De R$ 5.988,01 até R$ 6.986,00"
800,"De R$ 5.988,01 até R$ 6.986,00"
640,"De R$ 3.992,01 até R$ 4.990,00"
560,"Até R$ 998,00"
900,"De R$ 2.495,01 até R$ 2.994,00"
700,"De R$ 998,01 até R$ 1.497,00"
760,"De R$ 8.982,01 até R$ 9.980,00"
560,"De R$ 998,01 até R$ 1.497,00"
420,"De R$ 998,01 até R$ 1.497,00"
600,"De R$ 998,01 até R$ 1.497,00"
500,"De R$ 1.996,01 até R$ 2.495,00"
760,"De R$ 6.986,01 até R$ 7.984,00"
660,"De R$ 5.988,01 até R$ 6.986,00"
320,"De R$ 998,01 até R$ 1.497,00"
620,"De R$ 998,01 até R$ 1.497,00"
640,"De R$ 6.986,01 até R$ 7.984,00"
320,"Até R$ 998,00"
640,"De R$ 2.994,01 até R$ 3.992,00"
680,"Mais de R$ 19.960,00"
540,"Até R$ 998,00"
760,"De R$ 998,01 até R$ 1.497,00"
360,"De R$ 8.982,01 até R$ 9.980,00"
540,"Até R$ 998,00"
540,"De R$ 2.994,01 até R$ 3.992,00"
840,"De R$ 998,01 até R$ 1.497,00"
540,"De R$ 998,01 até R$ 1.497,00"
540,"De R$ 998,01 até R$ 1.497,00"
540,"De R$ 1.996,01 até R$ 2.495,00"
220,"De R$ 998,01 até R$ 1.497,00"
640,"De R$ 1.497,01 até R$ 1.996,00"
500,"De R$ 4.990,01 até R$ 5.988,00"
800,Nenhuma renda.
560,"De R$ 5.988,01 até R$ 6.986,00"
560,"De R$ 998,01 até R$ 1.497,00"
740,"De R$ 998,01 até R$ 1.497,00"
320,"De R$ 998,01 até R$ 1.497,00"
340,"De R$ 998,01 até R$ 1.497,00"
600,"De R$ 2.994,01 até R$ 3.992,00"
540,"De R$ 5.988,01 até R$ 6.986,00"
700,"De R$ 11.976,01 até R$ 14.970,00"
680,"De R$ 998,01 até R$ 1.497,00"
660,"Até R$ 998,00"
740,"De R$ 14.970,01 até R$ 19.960,00"
620,"De R$ 4.990,01 até R$ 5.988,00"
780,"De R$ 1.497,01 até R$ 1.996,00"
800,"De R$ 2.994,01 até R$ 3.992,00"
580,"Até R$ 998,00"
800,"De R$ 3.992,01 até R$ 4.990,00"
680,"De R$ 11.976,01 até R$ 14.970,00"
660,"De R$ 1.996,01 até R$ 2.495,00"
920,"De R$ 7.984,01 até R$ 8.982,00"
540,"Até R$ 998,00"
560,"De R$ 5.988,01 até R$ 6.986,00"
460,"De R$ 1.996,01 até R$ 2.495,00"
940,"De R$ 1.497,01 até R$ 1.996,00"
560,"De R$ 1.497,01 até R$ 1.996,00"
740,"De R$ 2.994,01 até R$ 3.992,00"
660,"De R$ 4.990,01 até R$ 5.988,00"
640,"Mais de R$ 19.960,00"
700,"De R$ 1.996,01 até R$ 2.495,00"
840,"De R$ 998,01 até R$ 1.497,00"
580,"De R$ 1.996,01 até R$ 2.495,00"
